z,k_s_per_km,p1d_kms,e_stat_kms,e_syst_kms,e_total_kms,pfid_kms
2.4000,0.01975000,6.91507938,0.11469113,0.29758624,0.31892260,6.82308240
2.4000,0.02025000,6.62520372,0.11470845,0.30360454,0.32455160,6.63037390
2.4000,0.02075000,6.47808778,0.11489291,0.30939775,0.33004144,6.44462890
2.4000,0.02125000,6.25185759,0.11529814,0.31518470,0.33561147,6.26557390
2.4000,0.02175000,6.26485072,0.11592173,0.32085585,0.34115440,6.09292980
2.4000,0.02225000,6.19021882,0.11676281,0.32644938,0.34670269,5.92644860
2.4000,0.02275000,6.07138531,0.11767414,0.33195140,0.35219162,5.76589730
2.4000,0.02325000,5.63037453,0.11862434,0.33762439,0.35785746,5.61104450
2.4000,0.02375000,5.71373727,0.11968472,0.34290552,0.36319227,5.46168240
2.4000,0.02425000,5.29723472,0.12090704,0.34790930,0.36831969,5.31760670
2.4000,0.02475000,5.41496639,0.12229938,0.35304742,0.37363032,5.17862250
2.4000,0.02525000,5.21597853,0.12365551,0.35886246,0.37956943,5.04454110
2.4000,0.02575000,5.03509080,0.12504698,0.36306273,0.38399387,4.91520220
2.4000,0.02625000,5.16956719,0.12656606,0.36792938,0.38908996,4.79042210
2.4000,0.02675000,4.73587959,0.12826607,0.37326647,0.39468981,4.67004990
2.4000,0.02725000,4.74486393,0.13019814,0.37742267,0.39924858,4.55394020
2.4000,0.02775000,4.72004218,0.13244633,0.38254663,0.40482583,4.44194420
2.4000,0.02825000,4.48254869,0.13503399,0.38664861,0.40955015,4.33390350
2.4000,0.02875000,4.40226974,0.13776717,0.39105885,0.41461647,4.22976610
2.4000,0.02925000,4.01861682,0.14081266,0.39556324,0.41987913,4.12898090
2.4000,0.02975000,4.02753642,0.14371858,0.40083780,0.42582387,4.03476370
2.4000,0.03034939,4.00736771,0.11929032,0.40486615,0.42207438,3.92282300
2.4000,0.03105632,4.01978094,0.12227508,0.41274083,0.43047205,3.79563020
2.4000,0.03177972,3.72228913,0.12646137,0.41958040,0.43822390,3.67409490
2.4000,0.03251996,3.74164424,0.13150909,0.42259772,0.44258725,3.55619340
2.4000,0.03327745,3.27071325,0.13746030,0.42856381,0.45006918,3.44217830
2.4000,0.03405258,3.49676248,0.14474069,0.43457781,0.45804775,3.33215720
2.4000,0.03484577,3.21951999,0.15355089,0.44065797,0.46664476,3.22623020
2.4000,0.03565743,3.07410812,0.16382077,0.44682823,0.47591251,3.12450800
2.4000,0.03648800,2.87379081,0.17627187,0.45311286,0.48619239,3.02701020
2.4000,0.03733791,2.87473996,0.19105395,0.45955544,0.49768746,2.93394070
2.4000,0.03820762,2.55869399,0.20771344,0.46618985,0.51037030,2.84535560
2.4000,0.03909759,2.20452439,0.22739551,0.47306507,0.52488025,2.76124600
2.4000,0.04000829,2.16697657,0.25045851,0.48033908,0.54171496,2.68294050
2.4000,0.04094021,1.89202691,0.27728526,0.48769242,0.56100892,2.60637340
2.4000,0.04189383,1.58422560,0.30917529,0.49454893,0.58323924,2.53338390
2.4000,0.04286966,1.43432926,0.34565497,0.50273744,0.61010023,2.47574420
2.4000,0.04386822,1.46413218,0.39115631,0.51093532,0.64347351,2.43955260
2.4000,0.04489004,0.72534116,0.45284140,0.51983687,0.68941693,2.42828790
2.4000,0.04593567,2.02415166,0.58755378,0.53208727,0.79267667,2.38916360
2.4000,0.04700565,2.36560699,1.00339992,0.56416466,1.15112691,2.46510530
2.4000,0.04810055,1.90088547,2.65133257,0.53092877,2.70396926,2.81370080
2.4000,0.04922096,-2.30975464,22.58194945,0.55142164,22.58868094,5.93447700
2.4000,0.05036746,1.24141483,0.00000000,0.49157055,0.49157055,0.00000000
2.4000,0.05154067,1.17518742,0.00000000,0.49442503,0.49442503,0.00000000
2.4000,0.05274120,1.11174191,0.00000000,0.49709334,0.49709334,0.00000000
2.6000,0.00025000,22.34706442,2.57890079,5.01986627,5.64356153,18.35496000
2.6000,0.00075000,35.70233242,0.42739451,1.37906132,1.44377151,27.39410100
2.6000,0.00125000,32.07249930,0.34466061,0.56693994,0.66348461,29.26547000
2.6000,0.00175000,29.84589675,0.32804584,0.32014654,0.45837526,29.04773000
2.6000,0.00225000,31.70581591,0.31451469,0.23727594,0.39397888,28.24491400
2.6000,0.00275000,30.02925765,0.30024469,0.20376978,0.36286223,27.23501100
2.6000,0.00325000,28.51710741,0.28626820,0.19141824,0.34436961,26.17118200
2.6000,0.00375000,23.59346780,0.27356017,0.17638820,0.32549649,25.11756000
2.6000,0.00425000,21.74238974,0.26306502,0.16855608,0.31243297,24.10141800
2.6000,0.00475000,22.08104210,0.25429931,0.16391180,0.30254788,23.13373500
2.6000,0.00525000,21.96345427,0.24678002,0.15904757,0.29359242,22.21771900
2.6000,0.00575000,23.04289149,0.23959365,0.15579535,0.28579242,21.35159700
